,,,,Overall,,,,,,,PP,,SH,,Defense,
Barrett Hayton,ARI,C,11,2,1,3,-1,6,10,1,1,0,0,0,17,5
Martin Fehervary,WAS,D,17,2,3,5,4,0,20,0,0,0,1,0,48,27
Brandon Duhaime,MIN,LW,16,2,4,6,1,35,27,1,0,0,0,0,39,4
Connor McMichael,WAS,C,15,2,4,6,1,4,30,0,0,0,0,0,7,5
Kaapo Kakko,NYR,RW,13,2,2,4,3,0,17,0,0,0,0,0,3,4
Jack Hughes,NJ,C,2,2,1,3,2,0,4,1,0,0,0,0,0,0
Paul Cotter,VGK,C,4,2,0,2,2,4,5,0,0,0,0,0,9,0
Brett Leason,WAS,RW,10,2,1,3,0,0,14,0,0,0,0,0,6,5
Gustav Nyquist,CLS,RW,14,2,3,5,-5,2,17,0,0,0,0,0,3,8
Justin Faulk,STL,D,16,2,3,5,7,19,45,0,1,1,0,0,29,19
Ryan Strome,NYR,C,13,2,8,10,2,8,29,2,0,3,0,0,6,3
Mark Scheifele,WPG,C,11,2,5,7,2,2,24,1,0,1,0,0,1,10
Jonas Brodin,MIN,D,16,2,5,7,1,0,33,0,0,1,0,0,13,22
Adam Lowry,WPG,LW,17,2,2,4,2,12,15,0,0,0,0,1,48,9
Patrick Maroon,TB,LW,14,2,0,2,-2,35,22,0,1,0,0,0,24,1
Victor Rask,MIN,C,8,2,2,4,5,2,10,0,0,0,0,0,3,0
Alexander Wennberg,SEA,C,17,2,9,11,-5,4,28,0,0,3,0,0,7,5
Adam Erne,DET,RW,18,2,3,5,-5,7,24,0,0,0,0,0,50,13
Nikita Zadorov,CGY,D,12,2,2,4,4,8,20,0,0,0,0,0,19,12
Valeri Nichushkin,COL,LW,5,2,2,4,2,0,8,0,1,0,1,0,6,1
Sean Monahan,CGY,C,17,2,7,9,-4,0,23,2,2,5,0,0,9,8
Jonathan Drouin,MON,C,13,2,5,7,-5,8,23,0,0,2,0,0,9,5
Seth Jones,CHI,D,16,2,12,14,-5,8,51,0,0,6,0,1,14,30
Radek Faksa,DAL,C,15,2,4,6,-7,13,18,0,1,0,0,0,24,18
Andreas Athanasiou,LA,C,6,2,3,5,2,0,12,1,0,1,0,0,2,2
Tanner Pearson,VAN,LW,18,2,4,6,1,8,43,1,0,0,0,0,19,12
Colton Sissons,NSH,RW,16,2,4,6,0,4,19,0,0,0,0,0,24,10
Matt Dumba,MIN,D,16,2,7,9,-1,12,41,1,0,2,0,0,28,30
Derek Stepan,CAR,C,13,2,1,3,2,2,24,0,0,0,0,0,7,6
Victor Hedman,TB,D,15,2,13,15,5,14,38,0,1,5,0,0,28,23
Derek Forbort,BOS,D,13,2,1,3,1,0,14,0,0,0,0,0,16,9
Nick Bjugstad,MIN,C,15,2,0,2,-2,6,26,0,0,0,0,0,21,5
Oliver Ekman-Larsson,VAN,D,18,2,2,4,2,20,53,0,2,0,0,0,26,15
Ryan O'Reilly,STL,C,12,2,6,8,3,0,23,0,1,1,0,0,4,6
Cody Eakin,BUF,C,11,2,1,3,-3,8,19,0,1,0,0,0,4,6
Tyson Barrie,EDM,D,16,2,6,8,-2,4,36,0,1,2,0,0,7,14
Brayden McNabb,VGK,D,17,2,4,6,0,10,12,0,0,0,0,0,41,42
Dmitry Orlov,WAS,D,17,2,5,7,10,20,24,2,0,0,0,0,28,25
Alex Chiasson,VAN,RW,13,2,2,4,-1,16,15,0,2,2,0,0,19,3
Cal Clutterbuck,NYI,RW,13,2,0,2,-3,2,16,1,0,0,0,0,52,7
Darren Helm,COL,C,14,2,2,4,-1,6,26,0,0,0,1,1,17,8
Max Pacioretty,VGK,LW,2,2,1,3,3,0,13,0,0,0,0,0,2,4
Dustin Brown,LA,RW,16,2,5,7,0,2,52,0,0,0,0,0,36,2
Patric Hornqvist,FLA,RW,17,2,7,9,0,7,33,0,1,2,0,0,28,7
James van Riemsdyk,PHI,LW,15,2,4,6,1,6,38,1,1,0,0,0,5,5
Sam Gagner,DET,C,19,2,6,8,-5,8,30,0,0,1,0,0,5,9
Ryan Suter,DAL,D,15,2,6,8,-4,10,18,0,1,3,0,0,6,21
Brian Boyle,PIT,C,14,2,0,2,-1,9,21,0,0,0,0,0,16,9
Andrew Cogliano,SJ,LW,15,2,2,4,1,6,17,0,0,0,1,0,13,4
James Neal,STL,RW,15,2,2,4,-1,0,24,1,1,1,0,0,13,3
Erik Johnson,COL,D,14,2,3,5,7,4,27,1,0,0,0,1,30,27
Jordan Staal,CAR,C,15,2,4,6,5,8,31,0,1,0,0,0,39,10
Derick Brassard,PHI,C,15,2,7,9,8,6,18,0,0,1,0,0,22,2
Frederick Gaudreau,MIN,C,16,2,4,6,-1,2,26,0,0,1,0,0,7,12
Kevin Labanc,SJ,RW,11,2,2,4,-3,6,20,1,2,2,0,0,14,5
Chris Wideman,MON,D,14,2,4,6,-1,22,21,0,0,2,0,0,13,9
Brandon Montour,FLA,D,17,2,7,9,4,12,32,0,1,3,0,0,10,14
Christian Dvorak,MON,LW,19,2,5,7,-16,8,35,0,0,2,0,0,13,25
Warren Foegele,EDM,LW,16,2,4,6,-7,2,19,0,1,0,0,0,31,3
Viktor Arvidsson,LA,LW,9,2,3,5,0,6,36,0,1,0,0,0,2,5
Jansen Harkins,WPG,C,17,2,1,3,2,2,16,0,0,0,0,0,11,3
Shayne Gostisbehere,ARI,D,17,2,11,13,-1,6,30,0,0,5,0,0,2,19
Haydn Fleury,SEA,D,9,2,0,2,-2,2,13,1,0,0,0,0,17,14
Justin Dowling,VAN,C,9,2,0,2,-3,0,10,0,0,0,0,0,4,4
Brendan Lemieux,LA,LW,10,2,0,2,4,16,11,0,0,0,0,0,25,5
Kevin Fiala,MIN,LW,16,2,8,10,-2,6,50,1,1,2,0,0,13,2
Ryan Donato,SEA,C,15,2,4,6,-4,19,31,0,0,0,0,0,16,3
William Carrier,VGK,LW,11,2,2,4,2,8,15,0,0,0,0,0,21,3
Zach Sanford,OTT,LW,15,2,1,3,-4,11,22,0,0,1,0,0,32,12
Michael Raffl,DAL,LW,15,2,2,4,-2,4,20,0,0,0,0,0,29,6
Anthony Mantha,WAS,RW,10,2,4,6,0,4,16,0,0,2,0,0,7,6
Connor Brown,OTT,RW,11,2,5,7,-7,2,17,0,0,2,0,0,3,7
Colin Miller,BUF,D,16,2,7,9,2,10,24,0,0,1,0,0,25,20
Luke Kunin,NSH,C,16,2,4,6,5,10,20,0,0,1,0,0,43,10
Brett Howden,VGK,C,15,2,2,4,3,4,10,1,0,0,0,0,16,11
Nico Hischier,NJ,C,15,2,7,9,4,4,31,0,1,1,0,1,10,12
Steven Lorentz,CAR,C,15,2,0,2,2,4,16,1,0,0,0,0,14,5
Neal Pionk,WPG,D,17,2,8,10,1,12,40,1,1,3,0,0,54,22
Travis Boyd,ARI,C,10,2,2,4,0,2,11,0,0,0,0,0,13,7
Nicolas Roy,VGK,C,15,2,7,9,6,25,28,0,0,0,0,0,21,10
Christian Fischer,ARI,RW,14,2,3,5,-2,4,14,0,0,0,0,0,11,8
Denis Gurianov,DAL,RW,14,2,2,4,1,2,33,1,1,1,0,0,17,9
Nick Jensen,WAS,D,17,2,4,6,14,2,27,0,0,0,0,0,31,26
Sean Kuraly,CLS,C,14,2,2,4,3,13,18,0,0,0,0,0,38,9
Mikhail Sergachev,TB,D,13,2,4,6,-5,10,24,0,0,2,0,0,19,16
Jakob Chychrun,ARI,D,17,2,2,4,-22,24,54,0,1,0,0,0,28,18
Drake Caggiula,BUF,LW,16,2,3,5,-2,4,21,1,0,1,0,0,17,6
Devon Toews,COL,D,5,2,2,4,7,0,10,0,1,1,0,0,5,3
Nikita Zaitsev,OTT,D,11,1,0,1,-4,6,11,0,0,0,0,0,27,20
Dominik Simon,PIT,C,10,1,3,4,-1,0,10,1,0,1,0,0,7,4
Kyle Capobianco,ARI,D,3,1,2,3,1,0,4,0,1,1,0,0,2,3
Dryden Hunt,NYR,LW,17,1,1,2,-3,8,20,0,0,0,0,0,32,0
Gabriel Carlsson,CLS,D,7,1,1,2,0,0,4,0,0,0,0,0,6,5
Yakov Trenin,NSH,C,16,1,2,3,0,9,20,0,0,0,0,0,28,13
Vince Dunn,SEA,D,15,1,6,7,-7,7,21,0,0,1,0,0,18,9
Ethan Bear,CAR,D,15,1,5,6,7,10,23,0,0,0,0,0,13,16
Carter Rowney,DET,C,10,1,0,1,-4,0,5,0,0,0,0,0,20,4
Derek Ryan,EDM,C,15,1,0,1,-10,2,15,0,0,0,0,0,5,9
Alexandre Carrier,NSH,D,13,1,4,5,2,12,12,0,0,0,0,0,5,25
Zack MacEwen,PHI,C,13,1,0,1,-3,11,13,1,0,0,0,0,23,6
Ryan Lomberg,FLA,LW,8,1,2,3,5,19,12,1,0,0,0,0,24,0
Dillon Dube,CGY,C,17,1,6,7,0,4,37,0,0,1,0,0,16,2
Trevor Moore,LA,LW,16,1,1,2,1,4,30,0,0,0,0,0,17,6
Josh Mahura,ANH,D,8,1,1,2,-2,0,7,0,0,0,0,0,16,13
Garrett Pilon,WAS,C,2,1,0,1,1,0,1,0,0,0,0,0,2,0
Nolan Patrick,VGK,C,4,1,0,1,1,0,10,0,0,0,0,0,6,1
Vinni Lettieri,ANH,C,3,1,1,2,0,0,6,0,1,1,0,0,7,0
Tucker Poolman,VAN,D,15,1,2,3,5,10,15,0,0,0,0,0,14,28
Gabriel Vilardi,LA,C,7,1,0,1,-5,2,7,0,1,0,0,0,0,5
Michael Rasmussen,DET,C,19,1,6,7,-3,10,28,0,0,0,0,0,25,17
Nathan Bastian,SEA,RW,12,1,1,2,-1,31,10,0,0,0,0,0,16,6
Tyson Jost,COL,C,14,1,3,4,2,4,20,0,0,0,0,1,16,8
Julien Gauthier,NYR,RW,8,1,1,2,1,2,17,1,0,0,0,0,20,2
Filip Hronek,DET,D,17,1,8,9,-1,24,24,0,0,2,0,0,15,31
Henrik Borgstrom,CHI,C,8,1,1,2,-2,0,11,0,0,1,0,0,2,4
Givani Smith,DET,LW,13,1,0,1,-4,19,13,0,0,0,0,0,23,5
Samuel Girard,COL,D,12,1,8,9,-2,6,18,0,0,1,0,0,11,18
Ryan Lindgren,NYR,D,17,1,1,2,3,6,18,0,0,0,0,0,21,37
Vinnie Hinostroza,BUF,RW,16,1,6,7,-2,6,26,0,0,0,0,0,6,2
Jujhar Khaira,CHI,C,10,1,0,1,-3,7,9,0,0,0,0,0,36,4
Nate Schmidt,WPG,D,17,1,10,11,8,0,29,1,0,6,0,0,11,28
Jason Dickinson,VAN,C,16,1,2,3,3,11,20,0,0,0,0,0,23,12
Brett Pesce,CAR,D,10,1,4,5,-1,4,16,1,1,2,0,0,6,14
Dysin Mayo,ARI,D,12,1,0,1,-2,4,15,0,0,0,0,0,15,27
Marcus Pettersson,PIT,D,12,1,3,4,7,4,17,0,0,0,0,0,20,10
Josh Manson,ANH,D,18,1,1,2,3,28,27,0,0,0,0,0,47,20
Ryan Dzingel,ARI,C,7,1,2,3,0,29,8,0,0,0,0,0,4,2
Brandon Carlo,BOS,D,13,1,1,2,-2,4,27,0,0,0,0,0,22,22
Evgeny Svechnikov,WPG,LW,16,1,5,6,4,8,20,0,0,0,0,0,24,6
Nicholas Merkley,SJ,C,7,1,2,3,-3,0,6,0,0,1,0,0,7,1
Ivan Provorov,PHI,D,15,1,3,4,4,10,28,0,1,1,0,0,10,38
Dylan Strome,CHI,C,9,1,1,2,-1,14,11,1,1,0,0,0,2,6
Colton Parayko,STL,D,16,1,6,7,-2,8,30,0,0,1,0,0,11,31
Bryan Rust,PIT,RW,9,1,6,7,0,4,27,0,0,1,0,0,2,3
Liam O'Brien,ARI,C,11,1,1,2,1,36,7,0,0,0,0,0,27,1
Nicolas Aube-Kubel,COL,C,9,1,1,2,-3,10,11,0,0,0,0,0,21,2
Nic Dowd,WAS,C,9,1,0,1,0,4,9,0,0,0,0,0,15,8
Kyle Burroughs,VAN,D,14,1,0,1,-5,11,15,0,0,0,0,0,44,23
Ryan Graves,NJ,D,15,1,5,6,4,4,25,0,0,0,0,0,27,30
Dylan DeMelo,WPG,D,17,1,2,3,3,6,14,0,0,0,1,0,19,20
Tomas Nosek,BOS,LW,13,1,2,3,1,4,11,1,0,0,0,1,21,10
Jack Johnson,COL,D,13,1,1,2,2,24,10,0,0,0,0,0,14,9
Nate Thompson,PHI,C,15,1,0,1,-4,29,6,0,0,0,0,0,22,8
Brad Richardson,CGY,C,8,1,0,1,0,4,4,0,0,0,0,0,16,3
Duncan Keith,EDM,D,16,1,4,5,-2,0,19,1,0,0,0,0,7,27
Sidney Crosby,PIT,C,4,1,1,2,-5,2,8,1,0,1,0,0,4,0
Alexander Radulov,DAL,RW,15,1,6,7,-7,4,24,0,0,4,0,0,12,13
Blake Comeau,DAL,LW,6,1,0,1,-1,4,2,0,0,0,0,0,13,3
Alex Goligoski,MIN,D,13,1,8,9,3,8,18,0,0,1,0,0,11,18
Ryan Getzlaf,ANH,C,18,1,18,19,2,4,51,1,1,4,0,0,31,17
Brent Burns,SJ,D,16,1,11,12,-1,12,50,0,1,2,0,1,9,34
Joe Thornton,FLA,C,7,1,0,1,-2,4,5,0,1,0,0,0,8,2
Lars Eller,WAS,C,15,1,7,8,6,8,26,0,0,1,0,0,12,9
Kyle Turris,EDM,C,13,1,1,2,-4,4,11,0,0,0,0,0,6,3
Anton Stralman,ARI,D,15,1,1,2,-8,2,20,0,0,0,0,0,12,23
Jakub Voracek,CLS,LW,14,1,14,15,0,10,25,0,1,7,0,0,6,4
Kris Letang,PIT,D,12,1,9,10,3,8,27,1,0,1,0,0,35,19
Brendan Smith,CAR,D,5,1,0,1,-2,2,4,1,0,0,0,0,11,2
Ryan McDonagh,TB,D,15,1,4,5,0,6,21,0,0,0,0,0,25,28
P.K. Subban,NJ,D,15,1,7,8,-2,6,30,1,0,0,0,1,22,26
Wayne Simmonds,TOR,RW,17,1,3,4,-1,13,28,0,0,0,0,0,29,3
Drew Doughty,LA,D,4,1,6,7,2,2,6,0,1,2,0,0,5,0
Nicolas Deslauriers,ANH,LW,18,1,2,3,-5,14,16,0,0,0,0,0,85,13
Jakob Silfverberg,ANH,RW,12,1,8,9,6,6,32,0,1,1,0,0,6,8
Riley Sheahan,SEA,C,14,1,2,3,0,0,14,0,0,0,0,0,3,7
Justin Braun,PHI,D,15,1,7,8,4,8,18,0,0,0,0,0,19,33
Chris Tanev,CGY,D,17,1,4,5,3,4,15,0,0,0,0,0,10,25
Dmitry Kulikov,MIN,D,15,1,5,6,7,4,10,0,0,0,0,0,20,18
Ryan Ellis,PHI,D,4,1,4,5,2,0,6,0,0,2,0,0,1,6
Kyle Palmieri,NYI,RW,13,1,5,6,0,27,34,0,0,0,0,0,10,3
Marcus Johansson,SEA,LW,6,1,3,4,-5,0,15,0,1,2,0,0,0,2
Erik Haula,BOS,C,13,1,1,2,-5,4,22,0,0,0,0,0,23,7
Tomas Tatar,NJ,LW,15,1,5,6,-3,8,29,0,1,1,0,0,16,5
Justin Schultz,WAS,D,17,1,1,2,2,0,16,1,1,0,0,0,9,25
Tyler Ennis,OTT,LW,14,1,7,8,-3,2,21,0,1,2,0,0,20,5
Josh Bailey,NYI,LW,12,1,5,6,-5,0,8,1,0,2,0,0,7,6
Michael Del Zotto,OTT,D,8,1,3,4,-8,2,12,0,1,0,0,0,21,9
Jean-Gabriel Pageau,NYI,C,12,1,3,4,1,0,19,0,0,0,0,0,25,6
Jacob Trouba,NYR,D,17,1,5,6,4,24,46,1,0,0,0,0,46,34
Cody Ceci,EDM,D,16,1,4,5,-1,2,22,0,0,0,0,0,26,22
Robert Bortuzzo,STL,D,14,1,1,2,0,9,9,0,0,0,0,0,27,16
Jake McCabe,CHI,D,16,1,1,2,-10,4,11,0,0,0,0,0,37,37
Hampus Lindholm,ANH,D,18,1,6,7,5,14,31,1,0,1,0,0,11,21
Brady Skjei,CAR,D,15,1,2,3,3,12,32,0,0,0,0,0,17,17
Mike Matheson,PIT,D,13,1,6,7,-1,2,22,1,0,1,0,0,16,17
Nathan MacKinnon,COL,C,8,1,9,10,-3,4,23,0,1,1,0,0,10,12
Mike Reilly,BOS,D,11,1,2,3,-1,4,18,0,0,1,1,0,13,10
Jordan Martinook,CAR,LW,15,1,3,4,0,6,13,0,0,0,0,0,20,3
Damon Severson,NJ,D,14,1,3,4,-2,14,27,0,0,2,0,0,11,31
Devin Shore,EDM,C,8,1,1,2,-3,4,5,0,0,0,0,0,10,5
Antoine Roussel,ARI,LW,13,1,0,1,-8,31,13,0,0,0,0,0,12,7
Max Domi,CLS,C,4,1,3,4,2,2,8,0,0,0,0,0,1,1
Robert Hagg,BUF,D,16,1,3,4,-3,11,15,0,0,0,0,0,29,40
Andrej Sustr,TB,D,8,1,0,1,1,2,8,0,0,0,0,0,2,2
Connor Murphy,CHI,D,16,1,1,2,-12,12,12,0,0,0,0,0,37,35
Nikita Kucherov,TB,RW,3,1,3,4,0,0,9,0,1,2,0,0,2,2
William Karlsson,VGK,C,8,1,2,3,-4,0,17,0,0,0,0,0,5,6
Nick Cousins,NSH,C,12,1,2,3,-3,4,22,0,1,1,0,0,9,8
Logan Shaw,OTT,RW,14,1,1,2,-2,2,16,0,0,0,0,0,8,4
Scott Mayfield,NYI,D,13,1,0,1,-6,24,19,0,0,0,0,0,20,28
Ryan Nugent-Hopkins,EDM,LW,16,1,18,19,6,2,36,0,0,12,0,1,12,9
Joel Armia,MON,RW,19,1,2,3,0,6,41,0,0,0,0,0,42,8
Tyler Johnson,CHI,C,8,1,2,3,-6,10,11,0,0,2,0,0,16,3
Jake Muzzin,TOR,D,18,1,4,5,-6,6,18,0,0,0,0,0,39,22
Jon Merrill,MIN,D,16,1,5,6,5,6,14,0,0,0,0,0,11,21
Kevin Hayes,PHI,C,2,1,1,2,0,2,6,0,0,1,0,0,3,1
Colin Blackwell,SEA,C,3,1,0,1,0,0,5,0,0,0,0,0,5,0
Alexander Romanov,MON,D,18,1,1,2,-4,9,21,0,0,0,0,0,57,24
Ross Colton,TB,LW,15,1,1,2,-3,4,33,0,0,1,0,0,25,5
Simon Benoit,ANH,D,8,1,0,1,3,0,5,0,0,0,0,0,32,5
Alex Newhook,COL,C,5,1,2,3,2,2,9,1,0,1,0,0,2,3
Pierre Engvall,TOR,LW,18,1,3,4,0,10,39,0,1,0,0,0,13,2
K'Andre Miller,NYR,D,17,1,1,2,0,8,14,0,0,0,0,0,20,24
Benoit-Olivier Groulx,ANH,C,15,1,2,3,1,2,14,0,0,0,0,0,18,5
Ryan McLeod,EDM,C,8,1,0,1,0,2,6,0,0,0,0,0,4,0
Ryan Merkley,SJ,D,6,1,0,1,0,2,7,0,0,0,0,0,1,4
Ty Smith,NJ,D,12,1,2,3,-4,4,15,0,0,0,0,0,10,13
Calen Addison,MIN,D,2,1,0,1,0,0,2,0,0,0,0,0,2,1
Adam Boqvist,CLS,D,7,1,0,1,-2,0,9,0,0,0,0,0,5,5
Michael Pezzetta,MON,C,9,1,1,2,-2,17,10,0,0,0,0,0,21,2
Kristian Vesalainen,WPG,LW,14,1,0,1,3,0,11,0,0,0,0,0,18,1
Jonas Rondbjerg,VGK,RW,10,1,2,3,2,0,7,0,0,0,0,0,5,4
Jake Leschyshyn,VGK,C,15,1,2,3,-2,6,15,0,0,0,0,0,16,10
Maxim Mamin,FLA,LW,4,1,0,1,-2,0,5,0,0,0,0,0,9,1
Jan Rutta,TB,D,14,1,2,3,1,12,20,0,0,0,0,0,13,17
Eeli Tolvanen,NSH,LW,16,1,3,4,2,0,40,0,0,2,0,0,27,4
Ryan Poehling,MON,C,5,1,0,1,-1,0,6,0,0,0,0,0,2,1
Adam Gaudette,CHI,C,8,1,1,2,-3,4,10,0,1,0,0,0,9,1
Karson Kuhlman,BOS,C,11,1,1,2,1,0,12,0,0,0,0,0,24,5
Mason Marchment,FLA,LW,10,1,6,7,7,6,15,0,0,0,0,0,24,2
Alex Barre-Boulet,TB,C,9,1,3,4,-1,2,5,0,0,1,0,0,5,0
Dominic Toninato,WPG,LW,14,1,1,2,0,2,7,0,0,0,0,0,19,5
Parker Kelly,OTT,C,9,1,1,2,-1,4,8,0,0,0,0,0,24,8
Dylan Coghlan,VGK,D,15,1,3,4,-6,2,23,1,1,1,0,0,12,10
Justin Danforth,CLS,RW,2,1,0,1,1,0,6,0,0,0,0,0,7,0
John Marino,PIT,D,16,1,7,8,-7,2,23,0,0,2,0,0,19,21
Tim Stutzle,OTT,LW,15,1,5,6,-5,6,28,1,1,3,0,0,18,9
Jamie Drysdale,ANH,D,18,1,6,7,-6,2,31,1,0,2,0,0,7,18
Jake Neighbours,STL,LW,9,1,1,2,-2,2,8,1,0,0,0,0,10,1
Hendrix Lapierre,WAS,C,6,1,0,1,2,2,7,0,0,0,0,0,1,2
Yegor Chinakhov,CLS,RW,10,1,3,4,-4,2,22,0,0,0,0,0,2,3
Gregory Hofmann,CLS,LW,14,1,2,3,2,8,12,1,0,0,0,0,15,4
Daniil Miromanov,VGK,RW,3,0,1,1,1,0,3,0,0,0,0,0,1,2
Max Willman,PHI,LW,3,0,0,0,-2,4,4,0,0,0,0,0,2,0
Mike Hardman,CHI,RW,10,0,1,1,-6,6,9,0,0,0,0,0,32,8
Isaak Phillips,CHI,D,3,0,0,0,-1,4,2,0,0,0,0,0,1,0
Matt Kiersted,FLA,D,2,0,1,1,1,0,2,0,0,0,0,0,2,3
Walker Duehr,CGY,RW,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cole Perfetti,WPG,LW,2,0,0,0,-2,0,1,0,0,0,0,0,1,0
Alexander Holtz,NJ,RW,5,0,1,1,-1,2,10,0,0,1,0,0,3,2
Tyce Thompson,NJ,C,2,0,0,0,0,0,3,0,0,0,0,0,2,0
Tobias Bjornfot,LA,D,16,0,3,3,7,2,16,0,0,0,0,0,2,23
Pavel Dorofeyev,VGK,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mathieu Olivier,NSH,RW,4,0,1,1,0,5,1,0,0,0,0,0,8,1
Mikhail Maltsev,COL,C,3,0,0,0,-3,0,4,0,0,0,0,0,3,1
Mattias Norlinder,MON,D,1,0,0,0,0,0,1,0,0,0,0,0,1,1
Alexei Protas,WAS,C,6,0,0,0,-1,0,6,0,0,0,0,0,2,1
Alex Belzile,MON,LW,8,0,0,0,1,2,9,0,0,0,0,0,6,3
Joel Kiviranta,DAL,RW,13,0,1,1,-1,6,8,0,0,0,0,0,34,5
